iso3,year,obesity
EGY,2013,38.172328
KEN,2010,3.597511
MAR,1996,13.775697
GNQ,1993,10.794792
BDI,1993,0.91527216
LBY,1997,32.01265
NER,2010,2.4214597
SYC,2013,16.307889
SOM,2004,6.5510929
CPV,2001,9.5980585
GNQ,2009,4.9085274
CAF,1998,3.5080016
LBR,2019,14.44114
SOM,2013,9.9717513
NER,2014,5.612452
AGO,2022,11.473734
GMB,1990,0.66990666
MUS,1993,9.7032465
SOM,2012,15.460092
LBR,1996,4.8806731
TUN,2008,12.622336
LBR,1992,3.5926525
BEN,2017,12.916782
LBR,1993,1.6338838
GIN,2007,3.0753387
CMR,2015,7.8365453
STP,1996,7.2823159
STP,2021,9.2545271
MDG,2015,2.6893687
DZA,1997,12.205689
ZMB,2009,2.4049327
LSO,2003,3.1621803
SDN,1996,8.4313698
MDG,1998,0.97759692
TCD,2011,4.3451358
EGY,1993,28.901261
NGA,2006,9.2754126
SOM,1998,7.6673515
BWA,2019,25.664794
NGA,2015,6.3869789
CIV,2005,6.2250733
DJI,2007,5.6451868
DJI,2011,6.8207234
GNB,2009,4.6396006
EGY,2011,47.67704
CMR,2011,7.2991811
NAM,2011,13.778745
TGO,1993,2.6889244
GHA,2004,3.1005697
EGY,2020,30.365661
GAB,2002,5.654322
UGA,2018,6.0418431
GMB,1995,2.3941353
LBY,2001,16.745038
MUS,1997,16.1046
ETH,2019,3.7050653
COG,2014,3.3439536
LSO,2020,19.792959
BFA,1998,1.195503
SOM,1994,6.2300608
SSD,2007,2.3496736
DJI,1996,3.0700712
NER,1993,1.6463311
AGO,2004,3.266016
MRT,2013,6.5100163
NER,2016,4.5665365
BEN,2006,6.5583549
MAR,1994,12.967777
TUN,2016,16.441163
NGA,1993,1.2859342
MWI,2009,1.6746644
MOZ,2019,11.889516
GNQ,2022,7.7642329
MWI,2016,8.576519
GHA,1990,1.0104883
COD,2006,2.3359934
GAB,2017,27.230564
GAB,2001,14.729856
ZWE,2017,11.910026
SSD,2004,3.5899658
LSO,1995,15.405244
SOM,2001,5.5636276
ZAF,2004,35.074756
TCD,2016,5.7942878
LSO,1990,1.4913999
MDG,2006,1.6430011
GHA,2020,19.312654
SWZ,2015,25.033963
BFA,2009,4.0821377
MWI,2000,2.1145873
NAM,1999,4.3518364
BDI,1992,1.1224228
GHA,2015,10.903609
MUS,2013,16.677466
COG,1994,1.5255232
COD,1993,1.8621894
ETH,2001,1.0388734
SEN,1993,2.7466821
LBR,1999,4.5205478
DJI,2000,3.8429901
ERI,2021,6.2426005
SLE,2006,7.7938497
DJI,2016,12.710474
MUS,2014,22.424065
SLE,2008,8.3456613
BDI,2006,1.927112
MRT,2009,22.915515
MAR,2016,25.647643
MAR,2000,15.6822
SOM,1995,6.5471388
CMR,1996,6.7634076
ZMB,2002,4.1115809
SLE,2003,6.7733064
GNQ,1998,2.8059527
SEN,1998,6.6613354
RWA,2005,2.2666333
SEN,2016,8.4790207
MUS,1991,13.09946
SWZ,1996,3.9624259
AGO,2018,10.116035
LBR,1996,3.5450075
GNB,2015,5.691959
DZA,2007,16.469198
SSD,2015,8.559572
ZMB,1992,0.8843842
DJI,2000,5.787532
TUN,2008,20.185708
ERI,2000,0.77929464
GNQ,2015,25.105828
CPV,1996,5.1146146
GHA,2016,4.4312507
COG,2000,5.1159706
ETH,2020,2.4685992
TUN,2021,33.397147
ERI,1997,1.0152704
COG,2014,7.5585425
ETH,1995,0.67954557
COD,1993,1.4996919
TZA,1995,1.5046321
GIN,1999,3.2309867
TZA,2017,9.722174
TZA,2010,6.7079507
STP,1993,5.9301518
COG,2016,7.7623986
CIV,2002,5.207986
COM,2001,9.2440933
BFA,2016,4.6752714
NER,1990,0.90312278
GAB,1996,11.266214
SSD,2010,6.7708731
ZAF,1991,16.66124
MOZ,2010,3.0467356
CPV,2001,7.0832215
SSD,1997,3.3012562
COM,1994,1.8343326
NER,2000,1.1245964
STP,2006,5.176511
SYC,1999,9.1562688
COG,1990,1.2231703
SWZ,2022,30.086693
TGO,2007,5.5538606
TUN,2000,23.494902
SEN,1991,0.52161673
ERI,2009,2.2453109
MDG,1991,0.65217088
GNB,1997,3.2588195
COG,1998,7.0919409
CAF,1991,2.1575561
BDI,1998,1.3808423
ZAF,2003,24.693684
ERI,2012,2.6611121
DJI,2000,1.7751008
SOM,2012,9.5553361
BFA,2016,2.8395776
SEN,2003,1.4968487
GMB,1998,4.8283972
ZMB,2001,1.5066176
ZMB,1993,2.51619
GNQ,2013,23.927566
GNB,2012,10.111266
ETH,2003,0.81064412
ERI,2009,3.1057268
MRT,2020,32.856524
TGO,2015,12.185992
MUS,2016,11.486314
ZWE,2012,3.0628238
SEN,2019,14.262922
MOZ,2016,10.261413
BWA,2008,20.514832
LBR,2000,4.8997249
MRT,1993,1.8792914
SEN,1995,5.4376081
DZA,2020,31.160238
BFA,1996,0.64024148
ZWE,1992,5.7889905
GNB,2013,10.475948
RWA,1991,0.91463858
GNB,1992,1.3384406
CPV,2007,5.442398
GMB,1991,0.73574674
SWZ,1996,20.319842
SOM,2020,13.430162
ETH,2003,0.38750025
GMB,2002,6.946151
CIV,2008,9.7735263
MOZ,1990,1.6906563
CIV,2006,4.2344712
AGO,1994,5.5723514
CIV,1994,1.6926931
GNQ,1991,9.7364061
SLE,1991,2.9939197
CAF,2015,9.0725444
MWI,2009,5.7379507
CAF,2008,6.6311069
DJI,2012,7.1355022
TGO,2016,8.5692115
KEN,2005,8.4070683
DJI,2019,5.0144412
TCD,2022,6.6922761
ERI,2005,2.4001108
ETH,2000,0.32642579
ETH,2005,0.43173628
CMR,2012,15.948403
LSO,2012,25.718248
UGA,2014,4.6963621
TZA,2013,11.715867
BEN,2005,6.2255513
GIN,2021,12.102145
MDG,2011,2.1963954
SLE,2017,6.3291676
MUS,2005,19.668908
CAF,2001,2.1381479
NER,2021,5.6971259
ZMB,2016,3.4518618
KEN,1993,3.8209885
STP,2020,8.8727027
TGO,2003,4.2279925
CMR,2020,19.372942
TZA,2017,14.404675
MDG,2022,4.0814821
KEN,2021,11.901668
GAB,1998,4.5838472
SWZ,1999,23.018445
SYC,2015,17.021234
GIN,2007,4.5803457
TZA,1996,1.5937332
CIV,1995,3.129112
LBR,2021,16.106904
RWA,2018,3.7236981
TZA,2000,2.0126104
SWZ,2014,10.006368
UGA,2008,3.2976054
MWI,2006,1.4685778
MLI,2006,5.7254307
TZA,1992,3.1644508
STP,1998,5.7506528
DZA,1999,13.01133
NAM,1995,3.451952
ZAF,1993,26.959264
MLI,2008,5.6802019
CPV,2009,10.298257
SWZ,1994,18.728475
BWA,2003,17.508009
STP,2009,6.0089111
SWZ,2007,30.84774
BFA,2019,5.6108229
STP,1990,4.8191886
SWZ,2004,18.154871
UGA,2002,0.70228241
MRT,2017,19.133006
CMR,2009,6.9401309
LSO,2004,12.472636
KEN,2018,10.493397
MAR,1996,5.6424707
BFA,2015,5.9551582
MRT,2011,15.674184
CMR,1994,2.7243188
CPV,1997,7.3790982
GMB,2016,11.267933
UGA,2020,6.8965137
COG,1997,4.35865
AGO,1999,7.3120259
SDN,2006,9.0645149
MLI,1999,3.2672383
MUS,2019,18.213682
NER,1997,2.2223121
MDG,2012,2.2593683
SDN,2012,11.492568
BWA,2009,13.768882
BDI,2015,2.9188143
ERI,2012,1.4533211
KEN,2009,7.0736088
TUN,2016,23.968665
TUN,2014,30.127287
MAR,1997,14.216928
GNB,2017,9.4127633
CPV,2006,9.1843463
SDN,2016,13.346794
DZA,2016,20.775081
CMR,2017,13.119014
TGO,2022,11.560986
BDI,1995,1.3339595
BEN,2020,6.4750798
NGA,1992,1.159553
MLI,2009,7.5440459
SOM,2010,14.18175
SOM,2006,2.4366144
GNB,2007,8.2844324
GNB,2012,5.1708881
AGO,1990,4.465244
COG,1997,6.6983439
COM,2003,3.0539509
CPV,2003,10.814622
SDN,1995,2.3288036
GIN,1996,1.9434271
ZWE,2005,8.0026381
RWA,2004,1.387234
TGO,1990,0.76949918
CMR,2018,18.42137
DZA,2020,14.616884
CAF,2016,7.0275731
BEN,2021,14.549257
GHA,2020,12.28167
UGA,1993,0.39551263
SEN,1996,5.8225688
TZA,1994,2.5266929
CIV,2010,5.0832387
SLE,2003,1.8247617
BDI,1991,0.82846126
CPV,2009,5.8937438
GNQ,2015,14.816929
BFA,2019,7.6865293
SEN,1990,2.1820148
SEN,2000,1.1569313
GMB,1996,2.6346738
BDI,2008,2.13202
ZWE,1993,1.2110724
SDN,1993,4.6921805
ETH,2010,2.0234076
TUN,1993,19.780941
AGO,2013,12.649776
CAF,2013,3.8824767
ETH,2000,0.65287156
MLI,2003,4.6165008
TGO,1994,2.9170748
NER,2007,2.0426525
AGO,1992,3.4032073
ZMB,2017,3.6646444
GNB,1995,1.7001536
DJI,2011,10.202755
DZA,1998,19.266158
LBY,2019,44.636333
BEN,2015,12.208883
MUS,2000,12.650445
DZA,1994,11.140125
LSO,2011,4.7581721
SYC,2018,27.437264
MAR,1997,5.9164792
SWZ,2005,28.925571
SYC,2006,22.59431
SWZ,1990,2.8543506
KEN,2018,4.9682032
BFA,1998,1.5612288
BDI,2022,6.1150942
TZA,2006,2.810129
EGY,2012,48.599339
NAM,2021,22.473402
BWA,2005,18.795992
SLE,2012,2.4195492
MRT,2019,7.9177342
MAR,2000,11.314433
TGO,1996,2.3658771
MUS,2003,13.848977
GNB,1993,1.4484121
SEN,2001,8.0419555
RWA,1997,1.2736973
LBR,2018,9.5748819
TZA,2018,10.242861
TCD,2012,4.4947568
COG,2005,2.6295641
BEN,2012,8.1412867
SYC,1993,6.0799427
NER,2000,1.9817974
KEN,2017,4.7483884
SDN,2013,6.4703077
TCD,2016,5.1700816
TUN,2013,29.6514
MLI,2020,11.868472
TCD,2014,5.4264486
SEN,2021,15.080433
TUN,2003,17.847675
BFA,2012,4.9404424
UGA,2020,3.2836504
RWA,2019,3.994552
LBY,2008,29.890087
ZWE,1997,10.601917
CPV,2015,17.707516
LBR,2017,12.998709
GMB,2011,8.9322753
MAR,2012,16.667043
GMB,1992,2.8114595
LBR,2012,6.7297779
LSO,2003,12.03297
TCD,2013,5.2656941
COD,2013,3.0031983
LBY,2012,31.996799
MOZ,1998,2.6615128
ZWE,2001,7.0533015
