iso3,year,tb_inc
TCD,2017,145.0
NGA,2020,219.0
EGY,2008,16.0
COM,2012,43.0
LBY,2020,43.0
TCD,2023,120.0
BDI,2019,102.0
DZA,2009,96.0
STP,2010,153.0
ERI,2006,375.0
LSO,2004,1150.0
SEN,2016,159.0
UGA,2019,200.0
MRT,2004,203.0
GHA,2024,126.0
AGO,2009,489.0
LBY,2002,63.0
MRT,2016,102.0
DJI,2002,1870.0
CAF,2015,503.0
ERI,2016,163.0
SWZ,2010,1590.0
COD,2000,612.0
CAF,2013,524.0
NAM,2006,1210.0
ERI,2001,538.0
GMB,2013,176.0
ETH,2013,224.0
MAR,2020,89.0
SOM,2024,151.0
TZA,2021,208.0
GNB,2019,189.0
MWI,2008,371.0
SDN,2008,116.0
MUS,2006,19.0
NAM,2000,985.0
STP,2003,237.0
CPV,2018,56.0
CMR,2001,131.0
TGO,2003,76.0
RWA,2007,110.0
COG,2017,321.0
GIN,2010,189.0
BFA,2015,68.0
CIV,2014,173.0
NGA,2023,219.0
GNQ,2016,234.0
LBY,2008,57.0
RWA,2020,63.0
LBR,2021,232.0
SYC,2021,8.9
EGY,2016,13.0
SEN,2005,185.0
MUS,2023,12.0
MRT,2007,176.0
DJI,2007,1320.0
GIN,2004,163.0
SSD,2023,326.0
ERI,2020,111.0
ZAF,2022,468.0
COM,2007,43.0
BDI,2010,154.0
LSO,2016,721.0
MWI,2004,402.0
MOZ,2010,357.0
DZA,2005,113.0
COM,2005,43.0
MDG,2009,235.0
NGA,2016,219.0
COD,2004,564.0
NER,2023,83.0
ETH,2011,253.0
GHA,2021,136.0
GHA,2017,152.0
MDG,2007,236.0
BWA,2006,751.0
SYC,2007,19.0
CMR,2004,234.0
CAF,2001,667.0
GNQ,2020,216.0
NAM,2009,974.0
EGY,2005,18.0
ZAF,2001,867.0
SDN,2002,139.0
UGA,2009,213.0
CPV,2012,131.0
ZMB,2013,437.0
SDN,2014,94.0
AGO,2011,469.0
BWA,2010,601.0
NER,2024,86.0
ZWE,2008,487.0
UGA,2006,227.0
LSO,2003,1080.0
MUS,2024,13.0
GIN,2018,178.0
ETH,2022,146.0
ZMB,2021,307.0
AGO,2010,480.0
SOM,2004,336.0
TCD,2020,131.0
TUN,2011,48.0
SYC,2020,7.5
BEN,2003,80.0
GHA,2020,140.0
ZMB,2004,631.0
CMR,2012,248.0
COM,2008,44.0
COG,2004,499.0
BEN,2022,44.0
NAM,2023,432.0
MLI,2003,79.0
TZA,2020,222.0
NER,2004,118.0
SWZ,2024,319.0
GHA,2012,173.0
LBR,2001,152.0
MOZ,2005,342.0
NAM,2022,441.0
NAM,2005,1250.0
SWZ,2000,981.0
TGO,2012,76.0
MRT,2017,98.0
LBR,2020,240.0
COG,2010,426.0
MRT,2005,195.0
UGA,2004,240.0
MWI,2014,228.0
BDI,2014,130.0
BFA,2024,57.0
ZMB,2001,728.0
EGY,2013,14.0
DZA,2000,118.0
MAR,2010,98.0
GMB,2005,190.0
MAR,2022,92.0
COD,2010,500.0
TCD,2002,124.0
BDI,2008,168.0
AGO,2006,507.0
GNB,2021,183.0
COD,2005,553.0
GAB,2000,332.0
MDG,2022,218.0
COG,2007,458.0
CIV,2017,142.0
UGA,2007,222.0
STP,2017,122.0
LSO,2020,599.0
STP,2014,163.0
RWA,2014,68.0
EGY,2020,11.0
ETH,2021,151.0
MDG,2010,233.0
GMB,2012,177.0
EGY,2006,17.0
TGO,2020,48.0
EGY,2018,12.0
RWA,2009,90.0
SEN,2008,184.0
SYC,2000,24.0
