iso3,year,uhc_index
CPV,2010,60.0
SYC,2021,78.0
BDI,2006,31.0
SWZ,2019,66.0
NAM,2009,58.0
TZA,2012,43.0
SSD,2020,40.0
SSD,2002,21.0
CIV,2005,24.0
CMR,2009,35.0
GHA,2007,36.0
MLI,2010,37.0
TZA,2003,23.0
ZAF,2006,59.0
SDN,2009,37.0
SEN,2006,31.0
TCD,2005,17.0
BFA,2000,19.0
BWA,2019,58.0
AGO,2016,40.0
TUN,2018,75.0
SEN,2020,49.0
AGO,2011,39.0
BWA,2017,60.0
GAB,2004,39.0
MOZ,2000,23.0
AGO,2014,37.0
NGA,2003,24.0
GMB,2019,47.0
TGO,2008,27.0
MLI,2015,37.0
STP,2021,59.0
BDI,2005,24.0
SYC,2009,67.0
TGO,2005,25.0
MAR,2000,55.0
SDN,2012,41.0
GHA,2020,51.0
GNQ,2010,35.0
BEN,2012,35.0
SSD,2014,32.0
KEN,2010,46.0
TZA,2001,21.0
TZA,2019,44.0
ZAF,2001,54.0
SOM,2023,30.0
CMR,2010,35.0
BDI,2000,24.0
BFA,2023,47.0
ETH,2012,24.0
COD,2006,25.0
COD,2011,37.0
MLI,2019,42.0
ZAF,2019,67.0
GIN,2005,18.0
MDG,2004,18.0
BFA,2003,16.0
BDI,2015,49.0
MUS,2005,70.0
SSD,2010,28.0
SWZ,2022,70.0
TUN,2015,73.0
NER,2020,32.0
MOZ,2010,33.0
SEN,2003,25.0
AGO,2009,38.0
LBY,2012,68.0
MAR,2004,57.0
TCD,2020,26.0
MRT,2012,29.0
GMB,2007,47.0
CIV,2017,47.0
MUS,2007,70.0
BFA,2014,39.0
GIN,2023,43.0
MDG,2017,31.0
MOZ,2023,50.0
RWA,2006,31.0
MRT,2013,29.0
LSO,2013,52.0
TUN,2009,68.0
GHA,2018,53.0
MUS,2003,68.0
SOM,2019,28.0
COG,2005,28.0
KEN,2009,45.0
KEN,2008,44.0
SDN,2011,39.0
ETH,2007,19.0
CAF,2013,28.0
GMB,2017,47.0
TZA,2002,22.0
CPV,2003,52.0
