iso3,year,dtp3
KEN,2001,80.0
TCD,2015,42.0
SEN,2019,91.0
STP,2021,97.0
MUS,2003,99.0
ZMB,2009,94.0
CAF,2020,37.0
NGA,2005,36.0
CPV,2005,95.0
NER,2015,84.0
DZA,2007,95.0
TUN,2023,97.0
ERI,2024,95.0
MOZ,2024,70.0
MLI,2008,74.0
COM,2014,80.0
MWI,2003,84.0
BEN,2021,70.0
SYC,2001,96.0
SYC,2005,99.0
ERI,2007,95.0
TGO,2018,82.0
COM,2003,80.0
ZWE,2022,90.0
NER,2009,71.0
BDI,2006,92.0
CPV,2018,98.0
EGY,2021,96.0
EGY,2020,94.0
MDG,2011,73.0
NAM,2024,74.0
BWA,2005,96.0
SWZ,2014,98.0
SWZ,2020,83.0
GMB,2017,92.0
BDI,2022,91.0
BFA,2022,91.0
SOM,2023,69.0
DZA,2015,95.0
SYC,2015,97.0
GNB,2015,86.0
TGO,2011,85.0
SOM,2018,53.0
MOZ,2018,85.0
ERI,2002,90.0
DJI,2016,68.0
GAB,2008,82.0
BEN,2016,78.0
ZWE,2001,75.0
DZA,2021,81.0
LSO,2010,93.0
BEN,2015,74.0
ZWE,2007,73.0
MAR,2004,97.0
ERI,2018,95.0
SWZ,2003,85.0
MRT,2009,64.0
MUS,2001,92.0
EGY,2008,97.0
GHA,2021,98.0
MLI,2014,66.0
TCD,2010,40.0
NAM,2001,78.0
ZAF,2024,74.0
MRT,2021,77.0
COG,2005,63.0
COM,2007,75.0
SEN,2001,52.0
MAR,2002,94.0
GAB,2012,82.0
ERI,2017,95.0
ZWE,2014,91.0
SWZ,2021,77.0
MDG,2002,62.0
ETH,2017,65.0
LBR,2016,73.0
GMB,2004,87.0
SEN,2012,91.0
CMR,2024,77.0
GMB,2002,87.0
LBR,2005,60.0
STP,2005,97.0
DZA,2003,87.0
COM,2019,78.0
STP,2014,95.0
KEN,2021,95.0
MAR,2008,99.0
CMR,2016,78.0
ZMB,2020,84.0
NAM,2011,82.0
SDN,2002,60.0
EGY,2012,93.0
SLE,2023,91.0
DZA,2005,88.0
BFA,2020,91.0
CMR,2001,63.0
TCD,2012,40.0
GMB,2021,82.0
MLI,2019,77.0
SYC,2021,94.0
SYC,2010,99.0
LSO,2008,88.0
DZA,2009,95.0
GIN,2008,60.0
EGY,2018,95.0
MLI,2000,43.0
TZA,2018,89.0
LSO,2018,90.0
TZA,2016,92.0
CIV,2022,73.0
GAB,2023,70.0
MOZ,2013,82.0
GHA,2010,94.0
GNQ,2010,54.0
NAM,2015,92.0
GNB,2020,74.0
STP,2024,87.0
CAF,2023,40.0
CMR,2002,66.0
MOZ,2002,76.0
CAF,2016,42.0
SLE,2000,44.0
MWI,2000,75.0
MRT,2005,71.0
SEN,2005,84.0
LSO,2001,79.0
GNB,2009,80.0
CPV,2022,93.0
DZA,2014,95.0
ETH,2012,61.0
CIV,2023,79.0
COM,2022,78.0
ZAF,2010,77.0
AGO,2001,42.0
SWZ,2013,98.0
BEN,2022,69.0
ZMB,2011,81.0
ZMB,2015,90.0
LSO,2022,92.0
STP,2012,96.0
NGA,2022,59.0
DZA,2013,95.0
DJI,2008,89.0
