iso3,year,nurses
ZMB,2018,4021.0
MAR,2011,19745.0
CMR,2020,2562.0
TUN,1994,5344.0
LBR,2018,693.0
TCD,2021,1000.0
BEN,2018,908.0
BFA,2013,803.0
MOZ,2004,514.0
BDI,2017,1084.0
ETH,2018,8395.0
KEN,2002,4506.0
ZMB,2024,3471.0
TUN,1996,6177.0
BEN,2019,1079.0
GAB,1995,321.0
CPV,2018,365.0
ZMB,2021,5773.0
SDN,2008,10813.0
DZA,2017,78838.0
MUS,2018,3210.0
BDI,2013,554.0
MAR,2009,17758.0
GMB,2018,298.0
MDG,2006,3219.0
ETH,2024,20593.0
GMB,2008,175.0
EGY,2018,75686.0
MLI,2012,1704.0
DJI,2005,140.0
DZA,2019,84161.0
SWZ,2020,165.0
SLE,2004,168.0
MDG,2007,3524.0
BWA,2003,526.0
TGO,2008,349.0
MUS,2001,1107.0
NGA,2022,86181.0
GMB,2021,269.0
BFA,2016,1202.0
SSD,2020,456.0
TCD,2023,1641.0
COD,2013,6418.0
KEN,2011,7549.0
NER,2023,994.0
GHA,2023,8977.0
AGO,2018,6593.0
MUS,2022,3800.0
TGO,2022,730.0
LSO,2018,998.0
GMB,2007,159.0
MLI,2005,811.0
CMR,2021,3378.0
EGY,2015,75960.0
TUN,2011,13686.0
MDG,2023,3215.0
NGA,2008,56526.0
RWA,2022,1223.0
SOM,2006,300.0
ZMB,2022,6531.0
MOZ,2011,1268.0
GHA,2011,2486.0
NAM,2021,1181.0
GAB,2018,1368.0
NAM,2023,1909.0
LBR,2022,954.0
NGA,2024,96321.0
TGO,2021,506.0
MWI,2003,252.0
BFA,2023,2478.0
ZWE,2014,1685.0
ZWE,2011,1054.0
ZWE,1990,1320.0
GIN,2016,977.0
ZMB,2006,649.0
BFA,2024,2518.0
LBR,2019,732.0
CIV,2011,3220.0
STP,2004,81.0
TUN,2021,15839.0
SSD,2019,342.0
TZA,2002,822.0
RWA,2013,1104.0
CAF,2023,383.0
RWA,2015,1284.0
DZA,2013,66236.0
LSO,2010,138.0
TCD,2018,803.0
GAB,2022,1266.0
MUS,2008,1450.0
TCD,1997,195.0
MAR,2002,13955.0
MOZ,2006,548.0
GIN,2004,987.0
TUN,2019,15426.0
SWZ,2018,278.0
CIV,2024,8127.0
GIN,2000,764.0
NGA,2016,83565.0
GNB,2016,183.0
GMB,2015,213.0
MAR,2022,28392.0
MOZ,2009,1042.0
BWA,1999,507.0
SSD,2024,1780.0
ZAF,2017,44653.0
SOM,2014,638.0
CMR,2022,3762.0
LBR,2021,887.0
ERI,2022,299.0
MAR,2004,16775.0
ZAF,2008,34687.0
GHA,2021,4169.0
DZA,2022,75512.0
LBR,2017,248.0
DZA,2004,37720.0
