iso3,year,gghe
DJI,2016,1.32919765
MRT,2001,0.54510015
MOZ,2001,1.311831
SOM,2018,0.13900605
SLE,2007,0.4417356
MOZ,2018,1.7863487
EGY,2011,1.47460115
MDG,2002,1.74709666
SDN,2023,0.59154689
MOZ,2000,1.08604574
ZAF,2017,4.56554031
GNQ,2016,0.86530524
GAB,2023,2.05877304
RWA,2022,2.43239522
DZA,2015,4.33925533
COG,2000,0.51469523
ZAF,2006,3.23011708
DJI,2013,1.8059175
MUS,2005,1.69515753
NGA,2005,1.14133215
GNB,2020,1.20048702
DJI,2006,1.72493029
COD,2009,0.30943882
TZA,2002,1.33213437
RWA,2021,2.63611889
GNB,2011,0.43690556
RWA,2004,1.92855704
SWZ,2010,4.22809029
BEN,2012,0.74686456
GAB,2011,1.58558345
DJI,2014,1.76028001
NER,2018,1.76657593
KEN,2008,1.35639918
SDN,2003,1.26332223
DJI,2018,1.33991563
BFA,2000,0.96129316
TUN,2005,2.61502051
CAF,2002,1.434237
DJI,2007,1.73417449
LBR,2018,1.68725502
CIV,2007,0.67966127
CMR,2005,0.65208685
LBR,2019,1.3562839
MRT,2013,1.08287692
MRT,2014,1.25234473
ERI,2012,0.79066068
ZMB,2000,1.47394264
MRT,2017,1.23123157
UGA,2011,0.90863341
ETH,2016,0.90002954
MAR,2023,3.42813945
UGA,2006,0.98067528
DZA,2004,2.3477478
GHA,2010,2.26015067
NAM,2000,5.6193819
BEN,2005,1.04785359
ERI,2013,0.776559
MLI,2017,1.17751467
SDN,2012,1.49337018
ZWE,2020,0.6526891
GHA,2021,2.09936643
GIN,2015,0.42931107
COG,2002,0.43198308
AGO,2001,1.80684185
GNB,2021,1.13860166
TUN,2010,3.12751889
MAR,2022,2.90570426
COG,2019,1.02925241
AGO,2008,1.91652381
GNQ,2015,0.7432819
NGA,2011,0.47937736
MUS,2011,1.74817169
DJI,2000,1.4098289
NAM,2015,5.39398766
SSD,2019,0.99254191
UGA,2010,1.09722447
MAR,2002,1.08123076
EGY,2022,1.68629062
MDG,2003,2.17278719
NAM,2017,5.34107399
NAM,2014,5.00115061
SYC,2011,3.01365519
ETH,2008,0.51424927
MRT,2015,1.41883922
BDI,2002,1.5355022
TCD,2016,0.64428413
EGY,2015,1.58139753
AGO,2004,1.4713583
DJI,2011,2.14218068
TGO,2007,0.59498978
COM,2020,1.29287672
MWI,2000,1.01542294
COD,2003,0.22955258
CMR,2017,0.14120807
EGY,2000,1.73206902
GMB,2002,0.54214686
TZA,2020,0.86159378
BWA,2018,4.14253378
BWA,2008,3.66806316
NGA,2006,0.90186709
TZA,2012,1.17573333
COD,2019,0.55490303
MRT,2006,0.67619681
TUN,2017,3.32102466
CIV,2012,0.74607307
BDI,2004,2.3681941
RWA,2020,2.13853812
MLI,2019,1.1192745
